City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,273.83,92,0,1.75,NZ,1720798387
1,quepos,9.4236,-84.1652,301.2,77,93,1.52,CR,1720798388
2,edinburgh of the seven seas,-37.0676,-12.3116,282.85,59,14,6.08,SH,1720798390
3,luderitz,-26.6481,15.1594,288.32,64,1,3.42,NA,1720798391
4,adamstown,-25.066,-130.1015,293.09,88,100,8.41,PN,1720798392
5,bethel,41.3712,-73.414,300.73,74,40,3.6,US,1720798393
6,yellowknife,62.456,-114.3525,287.44,51,75,7.72,CA,1720798394
7,qaqortoq,60.7167,-46.0333,277.03,89,100,2.52,GL,1720798395
8,grytviken,-54.2811,-36.5092,268.62,92,73,1.72,GS,1720798396
9,vadso,70.0744,29.7487,288.64,88,100,4.12,NO,1720798397
10,iqaluit,63.7506,-68.5145,284.0,62,75,7.2,CA,1720798398
11,waitangi,-43.9535,-176.5597,281.94,68,16,10.33,NZ,1720798399
12,longyearbyen,78.2186,15.6401,281.06,76,75,11.83,SJ,1720798400
13,kegeyli shahar,42.7767,59.6078,307.2,25,0,2.67,UZ,1720798401
14,ribeira grande,38.5167,-28.7,299.37,78,40,10.8,PT,1720798402
15,udachny,66.4167,112.4,295.15,49,42,3.91,RU,1720798404
16,papatowai,-46.5619,169.4708,276.75,92,16,4.06,NZ,1720798405
17,kirtipur,27.6667,85.2833,295.11,100,75,1.03,NP,1720798406
18,ushuaia,-54.8,-68.3,280.94,75,20,13.38,AR,1720798393
19,ola,59.5833,151.2833,284.52,76,5,0.69,RU,1720798408
20,port-aux-francais,-49.35,70.2167,275.0,99,100,10.03,TF,1720798410
21,malanje,-9.5402,16.341,301.31,11,23,0.96,AO,1720798411
22,alotau,-10.3069,150.4462,295.42,95,100,2.36,PG,1720798412
23,kadugli,11.0167,29.7167,298.37,77,100,1.4,SD,1720798413
24,forres,57.6113,-3.6108,289.09,80,100,4.63,GB,1720798414
25,touros,-5.1989,-35.4608,300.09,78,70,7.22,BR,1720798415
26,mogocha,53.7333,119.7667,292.28,53,100,2.02,RU,1720798416
27,remire-montjoly,4.9167,-52.2667,302.17,79,40,2.57,GF,1720798417
28,bonthe,7.5264,-12.505,299.57,81,94,4.16,SL,1720798418
29,puerto natales,-51.7236,-72.4875,283.4,50,0,7.2,CL,1720798419
30,tucupita,9.0622,-62.051,306.9,47,76,3.46,VE,1720798420
31,sol'tsy,58.1239,30.3238,295.54,87,79,3.45,RU,1720798422
32,hermanus,-34.4187,19.2345,285.85,78,63,8.98,ZA,1720798423
33,valley city,46.9233,-98.0032,299.44,78,0,6.17,US,1720798424
34,albany,42.6001,-73.9662,300.2,72,100,0.45,US,1720798201
35,kavaratti,10.5669,72.642,300.71,85,100,7.4,IN,1720798426
36,hithadhoo,-0.6,73.0833,302.18,71,100,3.51,MV,1720798427
37,margaret river,-33.95,115.0667,283.52,85,100,2.96,AU,1720798428
38,ust-nera,64.5667,143.2,293.08,49,100,2.4,RU,1720798429
39,blackmans bay,-43.0167,147.3167,280.11,84,82,2.69,AU,1720798430
40,usinsk,65.9939,57.5281,284.76,69,100,1.42,RU,1720798431
41,puerto baquerizo moreno,-0.9,-89.6,296.7,73,75,4.63,EC,1720798208
42,palikir - national government center,6.9248,158.1611,298.56,94,100,1.54,FM,1720798434
43,utrik,11.2278,169.8474,300.95,78,26,8.53,MH,1720798435
44,port-gentil,-0.7193,8.7815,296.87,79,100,7.54,GA,1720798436
45,wailua homesteads,22.0669,-159.378,296.59,89,40,5.14,US,1720798437
46,nemuro,43.3236,145.575,287.05,97,0,3.14,JP,1720798438
47,hit,33.6416,42.8251,315.29,11,0,7.95,IQ,1720798439
48,anadyr,64.75,177.4833,278.43,100,40,2.0,RU,1720798440
49,west island,-12.1568,96.8225,300.14,78,8,4.63,CC,1720798441
50,alice springs,-23.7,133.8833,286.9,54,100,3.6,AU,1720798442
51,keflavik,64.0049,-22.5624,286.1,94,100,14.92,IS,1720798443
52,urubamba,-13.3047,-72.1158,289.65,40,56,2.29,PE,1720798444
53,ginir,7.1333,40.7,291.91,70,94,3.51,ET,1720798445
54,harstad,68.799,16.5293,286.62,90,100,3.58,NO,1720798447
55,itaueira,-7.6033,-43.0256,307.74,30,94,4.97,BR,1720798448
56,zeya,53.75,127.2667,289.07,52,66,1.64,RU,1720798449
57,saipan,15.1355,145.701,301.54,78,20,5.14,MP,1720798450
58,port alfred,-33.5906,26.891,291.03,82,100,3.34,ZA,1720798451
59,constantia,44.1833,28.65,308.54,48,0,2.09,RO,1720798453
60,mount gambier,-37.8333,140.7667,280.07,94,33,2.02,AU,1720798454
61,terenos,-20.4422,-54.8603,287.99,77,75,4.63,BR,1720798455
62,avarua,-21.2078,-159.775,295.18,78,20,2.06,CK,1720798456
63,zhezqazghan,47.7833,67.7667,294.47,78,75,5.0,KZ,1720798457
64,minas de marcona,-15.2119,-75.1103,287.89,57,69,6.5,PE,1720798458
65,hawaiian paradise park,19.5933,-154.9731,296.88,92,100,2.06,US,1720798460
66,kapa'a,22.0752,-159.319,297.33,88,40,5.14,US,1720798461
67,waingapu,-9.6567,120.2641,294.89,85,60,3.49,ID,1720798462
68,floro,61.5996,5.0328,295.19,68,20,7.2,NO,1720798463
69,mount pearl,47.5166,-52.7813,289.67,92,100,6.69,CA,1720798464
70,kokopo,-4.352,152.2633,298.22,87,100,1.73,PG,1720798465
71,pisco,-13.7,-76.2167,291.49,72,20,3.6,PE,1720798450
72,troitsko-pechorsk,62.7084,56.1964,285.7,58,35,3.24,RU,1720798467
73,patnos,39.2336,42.8634,299.72,28,43,2.01,TR,1720798468
74,onguday,50.75,86.15,287.77,77,8,0.98,RU,1720798470
75,nagqu,31.5,92.0,279.59,91,100,2.1,CN,1720798472
76,coahuayana de hidalgo,18.7,-103.6583,300.01,77,94,0.33,MX,1720798473
77,marang,5.2056,103.2059,300.1,93,100,1.34,MY,1720798474
78,san antonio de pale,-1.4014,5.6325,296.01,79,46,5.38,GQ,1720798475
79,talnakh,69.4865,88.3972,294.35,67,100,3.1,RU,1720798476
80,puerto aysen,-45.4,-72.7,279.24,92,76,0.22,CL,1720798249
81,san patricio,28.017,-97.5169,300.12,83,100,2.23,US,1720798478
82,sao jose da coroa grande,-8.8978,-35.1478,299.11,78,18,7.6,BR,1720798479
83,caucete,-31.6518,-68.2811,282.54,32,0,1.55,AR,1720798481
84,aasiaat,68.7098,-52.8699,276.98,72,78,2.47,GL,1720798482
85,okhotsk,59.3833,143.3,287.38,71,89,2.26,RU,1720798483
86,tiksi,71.6872,128.8694,275.55,91,59,5.89,RU,1720798484
87,peniche,39.3558,-9.3811,296.53,79,15,7.88,PT,1720798485
88,atafu village,-8.5421,-172.5159,301.09,78,32,5.45,TK,1720798486
89,vila velha,-20.3297,-40.2925,302.12,68,40,5.14,BR,1720798247
90,hechuan,29.9947,106.2572,302.42,87,81,0.83,CN,1720798488
91,flin flon,54.7682,-101.865,289.06,94,100,2.06,CA,1720798489
92,general acha,-37.377,-64.6043,282.13,41,0,5.02,AR,1720798491
93,east london,-33.0153,27.9116,291.67,94,0,1.03,ZA,1720798492
94,howrah,22.5892,88.3103,301.15,89,75,3.09,IN,1720798493
95,loa janan,-0.583,117.095,295.41,96,91,1.1,ID,1720798494
96,college,64.8569,-147.8028,288.65,83,20,2.57,US,1720798495
97,vorgashor,67.5833,63.95,284.28,72,100,2.87,RU,1720798496
98,flying fish cove,-10.4217,105.6791,298.97,73,100,5.14,CX,1720798497
99,miri,4.4148,114.0089,299.23,89,40,1.54,MY,1720798467
100,ar raqqah,35.95,39.0167,311.91,18,0,10.93,SY,1720798499
101,barranca,-10.75,-77.7667,291.35,72,58,4.44,PE,1720798498
102,saint-joseph,-21.3667,55.6167,295.36,81,23,6.19,RE,1720798501
103,badger,64.8,-147.5333,288.6,81,20,2.57,US,1720798502
104,minot air force base,48.4209,-101.3391,299.81,71,0,2.57,US,1720798504
105,punta arenas,-53.15,-70.9167,280.21,70,0,14.92,CL,1720798505
106,new norfolk,-42.7826,147.0587,280.77,81,77,1.24,AU,1720798506
107,praia da vitoria,38.7333,-27.0667,301.29,69,40,5.49,PT,1720798507
108,whakatane,-37.9585,176.9854,279.69,94,3,1.34,NZ,1720798508
109,port mathurin,-19.6833,63.4167,296.21,66,11,12.16,MU,1720798509
110,umba,66.6871,34.3429,283.75,99,100,4.59,RU,1720798510
111,lazaro cardenas,17.9583,-102.2,301.69,71,100,1.23,MX,1720798511
112,minab,27.1467,57.0801,309.59,41,100,2.1,IR,1720798512
113,nar'yan-mar,67.6713,53.087,286.94,63,100,1.63,RU,1720798513
114,didsbury,53.417,-2.2315,288.79,77,40,2.06,GB,1720798515
115,vilyuchinsk,52.9306,158.4028,283.3,86,51,1.67,RU,1720798516
116,boyolangu,-8.1181,111.8935,295.33,93,72,0.7,ID,1720798517
117,zhanaozen,43.3,52.8,302.56,33,5,10.18,KZ,1720798518
118,pyhajarvi,67.0701,27.2176,288.18,99,100,1.55,FI,1720798519
119,thurso,58.5927,-3.5259,288.29,97,100,3.95,GB,1720798522
120,san vicente,-26.6167,-54.1333,282.46,70,100,2.69,AR,1720798523
121,egilsstadir,65.2653,-14.3948,292.1,45,20,12.35,IS,1720798524
122,kurayoshi,35.4333,133.8167,294.82,91,43,1.55,JP,1720798525
123,bilibino,68.0546,166.4372,282.28,63,3,1.48,RU,1720798526
124,kingston,17.997,-76.7936,306.02,66,20,4.63,JM,1720798148
125,qamdo,31.1667,97.2333,285.29,60,74,2.48,CN,1720798528
126,vanino,49.0869,140.2543,285.44,97,100,1.06,RU,1720798529
127,birobidzhan,48.8,132.95,284.46,91,45,0.68,RU,1720798530
128,usman',52.0466,39.7288,300.17,52,1,3.22,RU,1720798531
129,hadibu,12.65,54.0333,299.87,76,78,9.0,YE,1720798532
130,antofagasta,-23.65,-70.4,287.75,63,0,4.53,CL,1720798533
131,lieksa,63.3167,30.0167,290.87,93,100,3.38,FI,1720798535
132,severnoye,56.3491,78.3619,292.05,88,54,1.49,RU,1720798536
133,hafar al-batin,28.4328,45.9708,320.47,5,0,8.23,SA,1720798537
134,ilulissat,69.2167,-51.1,284.16,50,40,3.09,GL,1720798538
135,quellon,-43.1167,-73.6167,281.33,78,27,4.83,CL,1720798539
136,namibe,-15.1961,12.1522,292.08,78,71,4.04,AO,1720798540
137,moroni,-11.7022,43.2551,298.31,68,99,4.11,KM,1720798541
138,st. john's,47.5649,-52.7093,289.9,93,100,6.69,CA,1720798298
139,trairi,-3.2778,-39.2689,302.85,60,82,6.85,BR,1720798532
140,saint-philippe,-21.3585,55.7679,295.92,86,24,6.6,RE,1720798544
141,iskateley,67.6803,53.1512,286.92,62,100,1.74,RU,1720798545
142,sinabang,2.4803,96.3801,299.53,78,94,1.39,ID,1720798546
143,shingu,33.7333,135.9833,296.01,87,100,2.12,JP,1720798548
144,kodiak,57.79,-152.4072,282.88,93,100,4.63,US,1720798549
145,daru,-9.0763,143.2092,297.18,84,81,5.43,PG,1720798550
146,kirkwall,58.9848,-2.9587,287.18,82,75,4.63,GB,1720798551
147,polyarnyy,69.1989,33.4478,286.66,94,100,3.42,RU,1720798552
148,olonkinbyen,70.9221,-8.7187,276.93,98,99,4.25,SJ,1720798553
149,cambria,35.5641,-121.0808,293.56,67,48,0.5,US,1720798554
150,port isabel,26.0734,-97.2086,304.27,74,40,0.0,US,1720798555
151,kununurra,-15.7667,128.7333,290.14,82,3,0.0,AU,1720798556
152,aoulef,26.9667,1.0833,320.18,5,4,8.93,DZ,1720798557
153,kapuskasing,49.4169,-82.4331,296.2,46,75,4.63,CA,1720798558
154,geraldton,-28.7667,114.6,285.38,87,20,4.12,AU,1720798559
155,marka,1.7159,44.7717,298.52,84,88,8.05,SO,1720798560
156,lompoc,34.6391,-120.4579,291.23,100,100,2.06,US,1720798562
157,safford,32.834,-109.7076,304.32,32,0,4.63,US,1720798563
158,gaspe,48.8334,-64.4819,298.27,50,20,4.12,CA,1720798401
159,tommot,58.9564,126.2925,288.13,91,43,1.51,RU,1720798565
160,road town,18.4167,-64.6167,304.2,79,20,6.73,VG,1720798566
161,susuman,62.7833,148.1667,291.39,51,91,0.85,RU,1720798567
162,langepas,61.2544,75.2124,292.78,64,18,1.72,RU,1720798568
163,port hueneme,34.1478,-119.1951,293.45,92,100,2.57,US,1720798569
164,buka,40.8108,69.1986,302.8,29,100,3.49,UZ,1720798570
165,uturoa,-16.7333,-151.4333,298.92,82,96,8.28,PF,1720798571
166,lucapa,-8.4192,20.7447,302.61,15,1,0.82,AO,1720798572
167,port elizabeth,-33.918,25.5701,291.1,75,0,5.14,ZA,1720798574
168,jamestown,42.097,-79.2353,298.16,70,20,2.24,US,1720798528
169,bredasdorp,-34.5322,20.0403,285.04,74,60,4.86,ZA,1720798450
170,carnarvon,-24.8667,113.6333,291.68,43,93,6.32,AU,1720798577
171,tura,25.5198,90.2201,297.18,99,85,2.39,IN,1720798578
172,pirallahi,40.4723,50.333,303.23,56,40,2.92,AZ,1720798579
173,banda aceh,5.5577,95.3222,300.5,78,100,5.55,ID,1720798339
174,trinidad,-14.8333,-64.9,289.14,51,75,7.72,BO,1720798581
175,conceicao da barra,-18.5933,-39.7322,300.76,54,33,4.04,BR,1720798582
176,lhasa,29.65,91.1,288.13,71,53,2.69,CN,1720798583
177,thompson,55.7435,-97.8558,288.24,72,40,2.06,CA,1720798584
178,fukuecho,32.6881,128.8419,297.4,97,100,3.64,JP,1720798587
179,stanley,54.868,-1.6985,287.33,70,20,5.14,GB,1720798588
180,chonchi,-42.6128,-73.8092,279.33,71,27,1.43,CL,1720798590
181,juan griego,11.0817,-63.9655,304.52,58,80,5.52,VE,1720798591
182,macheng,31.1783,115.0319,298.55,94,74,1.62,CN,1720798592
183,dongxing,45.3667,130.8,289.03,89,86,1.21,CN,1720798593
184,simpang,-1.2667,104.0833,295.97,98,87,0.56,ID,1720798594
185,vilyuysk,63.7553,121.6247,289.19,86,34,2.44,RU,1720798595
186,bac kan,22.1333,105.8333,298.85,97,100,0.83,VN,1720798596
187,miramichi,47.0043,-65.4654,293.41,82,99,1.93,CA,1720798597
188,ambon,-3.6954,128.1814,299.19,95,40,1.03,ID,1720798599
189,revda,56.801,59.9303,287.02,94,100,4.22,RU,1720798403
190,enewetak,11.3474,162.3373,301.44,80,67,9.41,MH,1720798601
191,whitehorse,60.7161,-135.0538,285.98,66,75,5.14,CA,1720798602
192,rongelap,11.1635,166.8941,301.44,77,100,8.88,MH,1720798603
193,huntsville,34.7304,-86.5861,305.51,52,20,2.06,US,1720798559
194,palmas,-10.2128,-48.3603,305.08,29,0,5.66,BR,1720798605
195,ouro sogui,15.6,-13.3167,302.16,74,0,1.03,SN,1720798606
196,chegdomyn,51.1167,133.0167,283.2,94,39,0.89,RU,1720798607
197,thisted,56.9552,8.6949,293.82,72,73,2.58,DK,1720798608
198,severo-yeniseyskiy,60.3725,93.0408,285.01,86,46,1.73,RU,1720798609
199,tsiombe,-25.3,45.4833,292.11,62,0,2.45,MG,1720798611
200,luau,-10.7073,22.2247,298.8,16,8,1.02,AO,1720798612
201,ancud,-41.8697,-73.8203,281.39,74,5,2.35,CL,1720798613
202,tabora,-5.0167,32.8,297.05,29,87,1.0,TZ,1720798614
203,tan-tan,28.438,-11.1032,297.12,78,75,7.72,MA,1720798615
204,hillsborough,37.5741,-122.3794,297.27,75,9,1.79,US,1720798616
205,castillos,-34.1667,-53.8333,283.76,58,3,2.31,UY,1720798390
206,tsengel,49.4783,100.8894,286.12,75,60,2.72,MN,1720798618
207,arraial do cabo,-22.9661,-42.0278,298.13,88,75,5.14,BR,1720798619
208,kangding,30.0513,101.9603,291.01,100,100,1.82,CN,1720798620
209,tazovsky,67.4667,78.7,288.89,83,79,4.32,RU,1720798621
210,ad dabbah,18.05,30.95,315.14,19,14,2.85,SD,1720798622
211,beloretsk,53.9631,58.3981,288.78,97,100,4.19,RU,1720798624
212,miles city,46.4083,-105.8406,302.69,32,0,5.14,US,1720798625
213,rio grande,-32.035,-52.0986,284.21,65,5,5.01,BR,1720798590
214,coari,-4.085,-63.1414,305.86,47,95,1.54,BR,1720798627
215,sitka,57.0531,-135.33,286.09,88,100,0.0,US,1720798620
216,bima,-8.4667,118.7167,293.17,93,37,1.83,ID,1720798629
217,usogorsk,63.4106,48.6872,291.15,58,26,2.75,RU,1720798630
218,ciudad sabinas hidalgo,26.5,-100.1667,301.52,63,66,1.66,MX,1720798631
219,nuuk,64.1835,-51.7216,276.49,100,100,1.03,GL,1720798632
220,rouyn-noranda,48.2398,-79.0288,299.2,44,20,3.09,CA,1720798633
221,guneysu,40.9776,40.6136,297.7,90,77,0.46,TR,1720798634
222,numaligarh,26.6333,93.75,299.11,96,100,1.96,IN,1720798637
223,guwahati,26.1862,91.751,302.1,94,75,2.06,IN,1720798638
224,klyuchi,52.2667,79.1667,296.23,57,10,3.71,RU,1720798639
225,greenville,35.6127,-77.3663,303.24,83,100,4.12,US,1720798568
226,dudinka,69.4058,86.1778,293.27,68,100,2.55,RU,1720798641
227,decorah,43.3033,-91.7857,297.66,78,0,2.06,US,1720798642
228,afaahiti,-17.75,-149.2833,297.07,83,99,8.8,PF,1720798643
229,derzhavinsk,51.1,66.3167,295.32,61,100,8.74,KZ,1720798644
230,carbonear,47.7332,-53.2148,290.38,95,99,2.79,CA,1720798645
231,black river,18.0264,-77.8487,304.52,60,99,3.97,JM,1720798646
232,broome,42.2506,-75.833,299.1,81,40,0.89,US,1720798647
233,bathsheba,13.2167,-59.5167,301.49,89,75,7.2,BB,1720798649
234,arteche,12.2645,125.4048,299.37,87,77,1.19,PH,1720798650
235,mar del plata,-38.0023,-57.5575,283.76,72,75,4.63,AR,1720798021
236,yuli,9.6989,10.2744,304.07,52,100,3.1,NG,1720798652
237,sisimiut,66.9395,-53.6735,279.34,84,98,3.67,GL,1720798653
238,nichinan,31.6,131.3667,296.97,90,97,1.79,JP,1720798654
239,port lincoln,-34.7333,135.8667,284.53,84,6,2.82,AU,1720798655
240,tazacorte,28.629,-17.9293,296.69,78,20,6.69,ES,1720798656
241,hamilton,39.1834,-84.5333,303.58,69,0,3.09,US,1720798657
242,yarmouth,41.7057,-70.2286,300.91,93,100,5.14,US,1720798658
243,vila franca do campo,37.7167,-25.4333,295.38,90,100,4.93,PT,1720798659
244,isafjordur,66.0755,-23.124,288.17,72,100,7.72,IS,1720798660
245,la passe,45.5549,-0.8967,294.28,65,0,5.92,FR,1720798661
246,copala,16.65,-98.9833,302.64,63,55,1.4,MX,1720798663
247,bel ombre,-4.6167,55.4167,299.06,83,75,4.12,SC,1720798664
248,puerto ayora,-0.7393,-90.3518,295.13,95,98,1.34,EC,1720798665
249,altamira,-3.2033,-52.2064,304.2,62,40,3.6,BR,1720798501
250,akureyri,65.6835,-18.0878,292.11,55,40,10.29,IS,1720798667
251,kristiansund,63.1115,7.732,290.51,72,20,5.14,NO,1720798668
252,matoury,4.8483,-52.3317,303.13,70,75,1.03,GF,1720798669
253,karratha,-20.7377,116.8463,294.81,65,0,0.45,AU,1720798670
254,happy valley-goose bay,53.3168,-60.3315,301.32,32,20,7.72,CA,1720798671
255,saint-pierre,-21.3393,55.4781,295.97,73,20,8.23,RE,1720798543
256,motueka,-41.1333,173.0167,277.09,94,26,1.92,NZ,1720798676
257,chinchilla,-26.75,150.6333,285.94,80,69,3.39,AU,1720798677
258,georgetown,5.4112,100.3354,302.12,74,20,1.03,MY,1720798678
259,tolanaro,-25.0319,46.9987,296.19,56,0,6.17,MG,1720798679
260,kongolo,-5.3833,27.0,304.49,24,28,2.2,CD,1720798680
261,fauske,67.2588,15.3918,286.45,79,59,2.25,NO,1720798681
262,le marin,14.4721,-60.8697,304.1,70,75,7.72,MQ,1720798614
263,guiuan,11.0333,125.7247,302.16,74,97,2.54,PH,1720798683
264,belmonte,-15.8631,-38.8828,299.83,57,10,3.8,BR,1720798684
265,le vauclin,14.5452,-60.8388,304.18,70,75,7.72,MQ,1720798685
266,cabo san lucas,22.8909,-109.9124,303.81,63,0,2.57,MX,1720798556
267,malango,-2.9627,119.9001,292.09,100,90,0.35,ID,1720798687
268,pueblo nuevo,23.3833,-105.3833,289.83,79,97,1.36,MX,1720798689
269,bardai,11.65,7.2333,300.71,62,94,4.68,NG,1720798690
270,saratoga springs,43.0831,-73.7846,300.96,73,98,2.91,US,1720798418
271,mazowe,-17.504,30.9739,290.6,24,4,1.98,ZW,1720798693
272,linares,-35.85,-71.6,282.08,51,0,1.24,CL,1720798694
273,taulaga,-11.0553,-171.0883,300.6,79,18,5.58,AS,1720798695
274,lerwick,60.1545,-1.1494,287.15,88,97,3.39,GB,1720798696
275,nova sintra,14.8667,-24.7167,298.1,78,15,3.58,CV,1720798697
276,newman,37.3138,-121.0208,301.34,17,2,1.36,US,1720798698
277,smiltene,57.4244,25.9016,296.23,63,99,2.71,LV,1720798699
